epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_acc,val_acc,train_f1,val_f1,train_prec,val_prec,train_sens,val_sens,train_spec,val_spec
1.0,1.5270398891969925,1.4366851311463575,0.6088810019884661,0.7581380435193961,0.5850629738926191,0.7231797992896575,0.9848520262739152,0.9909666444325311,0.3369072718624526,0.6142075645637245,0.31164606569161335,0.5163587423690963,0.36662493025503184,0.7578110731558576,0.9914099947197906,0.9932002480849136
2.0,1.4448161747487105,1.4174165015037243,0.6823472888393549,0.8144917572633579,0.6500625475453385,0.7802349505229638,0.9894376648921798,0.994621284126573,0.5399874556596695,0.7355717524446146,0.49734089471071796,0.6893792197882915,0.5906338165870514,0.7883992288699974,0.993667928664032,0.9965968677821585
3.0,1.436416698447408,1.416820982327828,0.6820528471128812,0.7824096335824298,0.64731750338616,0.749207576881063,0.9901355173885019,0.9942438044813332,0.5854960195738743,0.7185346597403878,0.5237524782918686,0.6702628797615471,0.6637425655042143,0.7742990496160999,0.993597806142242,0.9963508500265
4.0,1.4323481029876004,1.4160373761103704,0.6914370277248961,0.7785040591485225,0.6552922445378786,0.745152865894712,0.9904468378699401,0.9940364185378254,0.6062902927255043,0.7158174475101629,0.5342463857307408,0.6533308766669554,0.7007933071690896,0.7915209524131365,0.9935193461664699,0.9959764934943156
5.0,1.4284843833961152,1.4135884275803199,0.7147695507182223,0.7687543172109298,0.6785101035389144,0.7340242793933416,0.9916865930930114,0.993328507807108,0.6498014273726905,0.7084016531735275,0.5824050955893431,0.6052082209838671,0.7348373377654973,0.8540196841072528,0.994411081008869,0.9946630703728716
6.0,1.426391218464805,1.415025871533614,0.7410407400800794,0.797767353172792,0.7034649503979389,0.765066708510045,0.9919426978565424,0.9941135383803276,0.6605677174950281,0.7173174561395437,0.5920881030932368,0.6589170333372787,0.746959420767556,0.7870768086041604,0.994541335787914,0.9960969265244463
7.0,1.4255075680526867,1.4240396572993352,0.745209600854386,0.6065670776255732,0.7080369683737469,0.5689142512590568,0.9921022465797187,0.9907497910093985,0.6694745214160973,0.6394565094637926,0.5969924129192612,0.5073844394773621,0.7619892559842355,0.8644806710183358,0.9945433026107323,0.9919594347080278
8.0,1.4239140651824715,1.4107281909539149,0.7708446965739211,0.784594394123325,0.7326941808876107,0.7508659968869045,0.992676107428076,0.9946358544172497,0.6890759495627177,0.7437875605174424,0.6214297019611418,0.6801657457014424,0.7732485784562211,0.820539790983163,0.9950035500880948,0.9963036747529272
9.0,1.421896801908636,1.4133473130372853,0.7706421883489591,0.8043620741141442,0.7312380941953953,0.7772452080482386,0.9925272089688211,0.9953629889455778,0.6897014516412605,0.7466535693786054,0.6112485595784225,0.7752403145936216,0.7912583593588449,0.7201001116108932,0.994662095826165,0.9979999757643508
10.0,1.4197720869522263,1.4099949873410738,0.7746436246691296,0.7902189964571824,0.7354416830161594,0.7483751618374999,0.9928215242112384,0.9915776980327151,0.7000057232609251,0.6741731460776599,0.6234983528605406,0.5326001879289846,0.7979152059933408,0.9182602225453742,0.994889010353716,0.9922800710454432
11.0,1.4205082675959044,1.4067698969290807,0.7748286431319108,0.790017862446033,0.7346203583846779,0.7470878758109533,0.9929172812985528,0.9936037065792497,0.7089384609657667,0.7282257664489694,0.6232879034086182,0.6100887875450538,0.8218788696136143,0.9031014306490038,0.9947313829080953,0.9944707080107823
12.0,1.4168754322413306,1.407404241653589,0.7822006919343304,0.8137617636955559,0.7400123198713598,0.7795197519634922,0.9929268614051909,0.994292714443869,0.7139822823595883,0.7340598093641295,0.6202457333454834,0.6579417906726575,0.8410954350587485,0.8300943619575597,0.9945374165631548,0.9958657158429793
13.0,1.4165208355445693,1.4078638461919932,0.7906827035192836,0.8200876540864914,0.748590654279268,0.7840629804595184,0.9933534803391291,0.9947418901890462,0.7285934400398687,0.7442545058025174,0.6375612942495864,0.6910799129181769,0.849950977379756,0.8062941793215136,0.9948746394648658,0.9965471976623871
14.0,1.416049216024676,1.406775834468695,0.7985218369488148,0.8304569658181351,0.7556061598960524,0.7932375308415573,0.9932308080631572,0.9949789302043277,0.7258414529116441,0.7613353928527723,0.6313070205471462,0.6934294804996125,0.8536740183344725,0.843984847972373,0.9947112401916708,0.9964254362076571
15.0,1.4149604767954822,1.4070903681791747,0.7923142131467222,0.7579841054975986,0.749760279177569,0.7128830205362576,0.9931315546400612,0.9933978932001541,0.724032838398284,0.7300567481952137,0.6260617212961511,0.5964322852456428,0.858355079077225,0.9408428315351256,0.9945613019505556,0.99390136466791
